Mods count: 122
 
jar name                                                      | mod id (isMCreator)             | mixin configs
NaturesCompass-1.12.2-1.8.5.jar                               | naturescompass                  | 
NetherPortalFix_1.12.1-5.3.17.jar                             | netherportalfix                 | 
OptiFine_1.12.2_HD_U_G5.jar                                   |                                 | 
Placebo-1.12.2-1.6.1.jar                                      | placebo                         | 
ProgressiveBosses-1.5.4-mc1.12.x.jar                          | progressivebosses               | 
Quark-r1.6-179.jar                                            | quark                           | 
RedstoneFlux-1.12-2.1.1.1-universal.jar                       | redstoneflux                    | 
RenderLib-1.12.2-1.4.5.jar                                    | renderlib                       | mixins.renderlib.refmap.json, mixins.renderlib.json
Rex's-AdditionalStructures-1.12.x(v.2.5.0).jar                | additionalstructures            | 
SereneSeasons-1.12.2-1.2.18-universal.jar                     | sereneseasons                   | 
Server-Pauser-1.12.2-1.0.0.jar                                | serverpauser                    | mixins.serverpauser.json, mixins.serverpauser.refmap.json
sharetome-1.0.jar                                             | sharetome                       | 
SolarFluxAdditions-1.12.2-12.3.2.jar                          |                                 | 
SolarFluxReborn-1.12.2-12.4.11.jar                            | solarflux                       | 
stg-1.12.2-1.2.3.jar                                          | stg                             | 
supermartijn642configlib-1.1.8-forge-mc1.12.jar               | supermartijn642configlib        | 
tc6aspects4jei-0.0.2a.jar                                     | tc6aspects4jei                  | 
TConstruct-1.12.2-2.13.0.183.jar                              | tconstruct                      | 
Thaumcraft-1.12.2-6.1.BETA26.jar                              | thaumcraft                      | 
ThaumcraftBlocks_Beta-1.0-1.12.2.jar                          | thaumcraftblocks (MCreator mod) | 
Thaumic Arcana-1.3.0.jar                                      | thaumic_arcana                  | 
Thaumic_Gadgets_1.12.2_0.1.6_tb.26.jar                        | tg                              | 
ThaumicAdditions-1.12.2-12.7.9.jar                            | thaumicadditions                | 
ThaumicAugmentation-1.12.2-2.1.14.jar                         | thaumicaugmentation             | 
thaumicbases-3.6.022.1.jar                                    | thaumicbases                    | 
thaumicenergistics-2.2.4.jar                                  | thaumicenergistics              | 
ThaumicForever-6.2.jar                                        | thaumicforever                  | mixins.thaumicforever.json
ThaumicJEI-1.12.2-1.7.0.jar                                   | thaumicjei                      | 
thaumicperiphery-0.3.1.jar                                    | thaumicperiphery                | 
ThaumicTerminal-1.0.12.jar                                    | thaumicterminal                 | 
thaumictinkerer-1.12.2-5.0-620a0c5.jar                        | thaumictinkerer                 | 
TinkerToolLeveling-1.12.2-1.1.0.jar                           | tinkertoolleveling              | 
trashcans-1.0.18-forge-mc1.12.jar                             | trashcans                       | 
TrashSlot_1.12.2-8.4.10.jar                                   | trashslot                       | 
TravelersBackpack-1.12.2-1.0.35.jar                           | travelersbackpack               | 
UnicodeFontExtension-1.12.2-2.7.jar                           | unicodefontextension            | 
villagernames_1.12.2-3.4.jar                                  | villagernames                   | 
Waystones_1.12.2-4.1.0.jar                                    | waystones                       | 
XaeroPlus-Forge-1.12.2-179-WM1.39.12-MM25.2.10.jar            | xaeroplus                       | mixins.xaeroplus.refmap.json, mixins.xaeroplus.json
Xaeros_Minimap_25.2.10_Forge_1.12.jar                         | xaerominimap                    | 
XaerosWorldMap_1.39.12_Forge_1.12.jar                         | xaeroworldmap                   | 
zerocore-1.12.2-0.1.2.9.jar                                   | zerocore                        | 
